Exposure	R2	SE	Mean	Max_diff_bw	Abs_max_diff_bw	R2_diff	P_max_diff	N	Cohort	Ancestry	VariableType
EverSmoker	0.05677111	0.002655457	0	1_2	0.000893900000000003	0.000893900000000003	0.8681944	53871	GERA	EUR	Binary
EverSmoker	0.05766501	0.002801925	1	1_2	0.000893900000000003	0.000893900000000003	0.8681944	53871	GERA	EUR	Binary
Socioeconomic	0.05434627	0.004040003	10	2_5	0.010746329999999998	0.010746329999999998	0.2094634	51661	GERA	EUR	Continuous
Socioeconomic	0.05145356	0.004137569	30	2_5	0.010746329999999998	0.010746329999999998	0.2094634	51661	GERA	EUR	Continuous
Socioeconomic	0.05852622	0.004516791	50	2_5	0.010746329999999998	0.010746329999999998	0.2094634	51661	GERA	EUR	Continuous
Socioeconomic	0.06169188	0.004413809	70	2_5	0.010746329999999998	0.010746329999999998	0.2094634	51661	GERA	EUR	Continuous
Socioeconomic	0.06219989	0.004428072	90	2_5	0.010746329999999998	0.010746329999999998	0.2094634	51661	GERA	EUR	Continuous
NeverVsCurrent	0.05677111	0.002542682	0	1_2	0.015533630000000007	0.015533630000000007	0.1636916	32138	GERA	EUR	Binary
NeverVsCurrent	0.07230474	0.009712719	1	1_2	0.015533630000000007	0.015533630000000007	0.1636916	32138	GERA	EUR	Binary
PhysicalActivity	0.07173619	0.004674106	10	1_5	0.023851350000000007	-0.023851350000000007	0.004626472	54845	GERA	EUR	Continuous
PhysicalActivity	0.05955452	0.004372324	30	1_5	0.023851350000000007	-0.023851350000000007	0.004626472	54845	GERA	EUR	Continuous
PhysicalActivity	0.05559419	0.004145560	50	1_5	0.023851350000000007	-0.023851350000000007	0.004626472	54845	GERA	EUR	Continuous
PhysicalActivity	0.05179028	0.004104442	70	1_5	0.023851350000000007	-0.023851350000000007	0.004626472	54845	GERA	EUR	Continuous
PhysicalActivity	0.04788484	0.003754351	90	1_5	0.023851350000000007	-0.023851350000000007	0.004626472	54845	GERA	EUR	Continuous
Sex	0.05815121	0.002481342	0	1_2	0.0002972499999999989	-0.0002972499999999989	0.952057	56049	GERA	EUR	Binary
Sex	0.05785396	0.002916565	1	1_2	0.0002972499999999989	-0.0002972499999999989	0.952057	56049	GERA	EUR	Binary
SmokingPackYears	0.05688007	0.004407807	0	2_3	0.006689569999999999	-0.006689569999999999	0.4324689	53213	GERA	EUR	Continuous
SmokingPackYears	0.06040206	0.004425276	0	2_3	0.006689569999999999	-0.006689569999999999	0.4324689	53213	GERA	EUR	Continuous
SmokingPackYears	0.05371249	0.004106410	0.2028754	2_3	0.006689569999999999	-0.006689569999999999	0.4324689	53213	GERA	EUR	Continuous
SmokingPackYears	0.05654589	0.004242704	1.457202	2_3	0.006689569999999999	-0.006689569999999999	0.4324689	53213	GERA	EUR	Continuous
SmokingPackYears	0.05615921	0.004301306	2.875787	2_3	0.006689569999999999	-0.006689569999999999	0.4324689	53213	GERA	EUR	Continuous
HbA1c	0.05667789	0.015776070	33.528499863	1_3	0.04568938	-0.04568938	0.04901448	3531	PMBB	AFR	Continuous
HbA1c	0.03034174	0.012102835	38.607544962000006	1_3	0.04568938	-0.04568938	0.04901448	3531	PMBB	AFR	Continuous
HbA1c	0.01098851	0.007788110	42.807319224	1_3	0.04568938	-0.04568938	0.04901448	3531	PMBB	AFR	Continuous
HbA1c	0.02591513	0.011574571	50.89415627099999	1_3	0.04568938	-0.04568938	0.04901448	3531	PMBB	AFR	Continuous
HbA1c	0.01438268	0.009102256	82.66852977599999	1_3	0.04568938	-0.04568938	0.04901448	3531	PMBB	AFR	Continuous
Age	0.05769156	0.010085335	28.18921	1_5	0.03513302	-0.03513302	0.03531584	9674	PMBB	AFR	Continuous
Age	0.04388544	0.009130042	42.67140	1_5	0.03513302	-0.03513302	0.03531584	9674	PMBB	AFR	Continuous
Age	0.03365418	0.008206923	53.59758	1_5	0.03513302	-0.03513302	0.03531584	9674	PMBB	AFR	Continuous
Age	0.02817463	0.007329861	61.82349	1_5	0.03513302	-0.03513302	0.03531584	9674	PMBB	AFR	Continuous
Age	0.02255854	0.006685309	73.05927	1_5	0.03513302	-0.03513302	0.03531584	9674	PMBB	AFR	Continuous
DBP	0.03936758	0.008570670	61.1601	3_5	0.026434460000000003	-0.026434460000000003	0.1112668	9651	PMBB	AFR	Continuous
DBP	0.03318106	0.007795219	70.38187	3_5	0.026434460000000003	-0.026434460000000003	0.1112668	9651	PMBB	AFR	Continuous
DBP	0.05082964	0.009990668	76.79482	3_5	0.026434460000000003	-0.026434460000000003	0.1112668	9651	PMBB	AFR	Continuous
DBP	0.03404411	0.008291826	82.09845	3_5	0.026434460000000003	-0.026434460000000003	0.1112668	9651	PMBB	AFR	Continuous
DBP	0.02439518	0.006733756	93.65199	3_5	0.026434460000000003	-0.026434460000000003	0.1112668	9651	PMBB	AFR	Continuous
EverSmoker	0.04161519	0.005356411	0	1_2	0.009788360000000003	-0.009788360000000003	0.3605728	9528	PMBB	AFR	Binary
EverSmoker	0.03182683	0.005349705	1	1_2	0.009788360000000003	-0.009788360000000003	0.3605728	9528	PMBB	AFR	Binary
HDL	0.04216074	0.009726332	32.2402	1_3	0.021573310000000002	-0.021573310000000002	0.2000834	7015	PMBB	AFR	Continuous
HDL	0.03089496	0.008656241	41.7263	1_3	0.021573310000000002	-0.021573310000000002	0.2000834	7015	PMBB	AFR	Continuous
HDL	0.02058743	0.007223003	48.74341	1_3	0.021573310000000002	-0.021573310000000002	0.2000834	7015	PMBB	AFR	Continuous
HDL	0.03160126	0.009023632	56.85246	1_3	0.021573310000000002	-0.021573310000000002	0.2000834	7015	PMBB	AFR	Continuous
HDL	0.03609693	0.009534228	74.57976	1_3	0.021573310000000002	-0.021573310000000002	0.2000834	7015	PMBB	AFR	Continuous
LDL	0.04020477	0.009655566	54.37589	2_5	0.026860300000000004	-0.026860300000000004	0.1186665	7013	PMBB	AFR	Continuous
LDL	0.04481402	0.010502403	79.50891	2_5	0.026860300000000004	-0.026860300000000004	0.1186665	7013	PMBB	AFR	Continuous
LDL	0.04047721	0.010526363	97.15307	2_5	0.026860300000000004	-0.026860300000000004	0.1186665	7013	PMBB	AFR	Continuous
LDL	0.03692784	0.009241705	116.4148	2_5	0.026860300000000004	-0.026860300000000004	0.1186665	7013	PMBB	AFR	Continuous
LDL	0.01795372	0.006867614	153.1176	2_5	0.026860300000000004	-0.026860300000000004	0.1186665	7013	PMBB	AFR	Continuous
NeverVsCurrent	0.04161519	0.005521432	0	1_2	0.0072524200000000025	-0.0072524200000000025	0.5817731	6575	PMBB	AFR	Binary
NeverVsCurrent	0.03436277	0.008926019	1	1_2	0.0072524200000000025	-0.0072524200000000025	0.5817731	6575	PMBB	AFR	Binary
Sex	0.04235879	0.005139670	0	1_2	0.011741689999999999	-0.011741689999999999	0.2860764	9674	PMBB	AFR	Binary
Sex	0.03061710	0.005889481	1	1_2	0.011741689999999999	-0.011741689999999999	0.2860764	9674	PMBB	AFR	Binary
TC	0.04319151	0.009940849	118.3807	2_5	0.02798043	-0.02798043	0.1419679	7040	PMBB	AFR	Continuous
TC	0.05094468	0.011158071	149.5085	2_5	0.02798043	-0.02798043	0.1419679	7040	PMBB	AFR	Continuous
TC	0.02899352	0.008910260	170.157	2_5	0.02798043	-0.02798043	0.1419679	7040	PMBB	AFR	Continuous
TC	0.03059955	0.009056265	192.3949	2_5	0.02798043	-0.02798043	0.1419679	7040	PMBB	AFR	Continuous
TC	0.02296425	0.008014886	235.87	2_5	0.02798043	-0.02798043	0.1419679	7040	PMBB	AFR	Continuous
TG	0.06008677	0.012134579	50.65758	1_5	0.03749655	-0.03749655	0.0502589	7155	PMBB	AFR	Continuous
TG	0.03039412	0.008922725	73.56953	1_5	0.03749655	-0.03749655	0.0502589	7155	PMBB	AFR	Continuous
TG	0.03165445	0.008623378	94.80014	1_5	0.03749655	-0.03749655	0.0502589	7155	PMBB	AFR	Continuous
TG	0.03191630	0.009019307	125.6226	1_5	0.03749655	-0.03749655	0.0502589	7155	PMBB	AFR	Continuous
TG	0.02259022	0.007184829	228.2166	1_5	0.03749655	-0.03749655	0.0502589	7155	PMBB	AFR	Continuous
